url,product_title,vendeur,retrait,product_price,licence,Descriptif_produit,marque,GTIN,ref_EAN,etoile,etoile_qualite_prix
https://www.auchan.fr/auchan-saucisson-a-l-ail-nature-a-l-ancienne/pr-C1221166,Saucisson à l'ail nature à l'ancienne,,,,,,,,"16468,/,3596710476367",,
https://www.auchan.fr/bjorg-biscuits-bio-fourres-au-chocolat-noir-sachets-fraicheur/pr-C1257859,Biscuits bio fourrés au chocolat noir sachets fraîcheur,,,,,,,,"84937,/,3229820100234",4.9,4.0
https://www.auchan.fr/pampers-premium-protection-couches-taille-1-2-5kg/pr-C1630004,Premium protection couches taille 1 (2-5kg),,,,,,,,"219229,/,8006540704370","4,7",
https://www.auchan.fr/pampers-new-baby-micro-premium-protection-couches-taille-0-moins-de-3kg/pr-C874230,New baby micro premium protection couches taille 0 moins de 3kg,,,,,,,,"891331,/,4015400639015",4.7,
https://www.auchan.fr/cachir-saucisse-volaille-halal/pr-C1186907,Saucisse volaille halal,,,,,,,,"181831,/,3700141402615",3.0,1.0
https://www.auchan.fr/mon-traiteur-pates-bolognaise/pr-C1777360,Pâtes bolognaise,,,,,,,,"312047,/,2030503120477",5.0,4.0
https://www.auchan.fr/mon-traiteur-chili-con-carne-et-riz/pr-C1776654,Chili con carne et riz,,,,,,,,"312104,/,2030503121047",4.0,4.0
https://www.auchan.fr/mon-traiteur-pave-de-saumon-fondue-de-poireau-et-riz/pr-C1776647,Pavé de saumon fondue de poireau et riz,,,,,,,,"312102,/,2030503121023",5.0,
https://www.auchan.fr/festein-d-alsace-saucisse-de-foie/pr-C1221157,Saucisse de foie,,,,,,,,"300515,/,3289740423639",5.0,
https://www.auchan.fr/mon-traiteur-blanquette-de-veau-et-riz/pr-C1777626,Blanquette de veau et riz,,,,,,,,"312197,/,2030503121979",,
https://www.auchan.fr/viennoiseries-pain-au-chocolat/pr-C1199965,Pain au chocolat,,,,,,,,"44496,/,2030500444965",,
https://www.auchan.fr/le-petit-olivier-bebe-bio-liniment-oleo-calcaire/pr-C1753747,Bébé bio Liniment oléo-calcaire,,,,,,,,"794807,/,3549620080025",,
https://www.auchan.fr/2-croissants-2-petits-pains-au-chocolat-et-2-chaussons-au-pommes/pr-C1190965,2 Croissants 2 petits pains au chocolat et 2 chaussons au pommes,,,,,,,,"731450,/,2030507314506",,
https://www.auchan.fr/pasquier-toasts-apero-campagne/pr-C1327354,Toasts apéro campagne,,,,,,,,"936441,/,3182180002306",,
https://www.auchan.fr/mon-traiteur-pates-4-fromages/pr-C1777621,Pâtes 4 fromages,,,,,,,,"312074,/,2030503120743",,
https://www.auchan.fr/jacquet-toasts-seigle-special-fruits-de-mer-sans-huile-de-palme/pr-C1197687,Toasts seigle spécial fruits de mer sans huile de palme,,,,,,,,"302042,/,3029330049388",,
https://www.auchan.fr/maison-coudene-mini-toasts-grilles-aux-7-cereales/pr-C1689203,Mini toasts grillés aux 7 céréales,,,,,,,,"24795,/,3257630002196",,
https://www.auchan.fr/jacquet-petits-pains-aux-cereales-et-graines-a-rechauffer/pr-C1310329,Petits pains aux céréales et graines à réchauffer,,,,,,,,"926494,/,3029330070870",,
https://www.auchan.fr/jeca-saucisse-de-foie-et-de-veau/pr-C1218538,Saucisse de foie et de veau,,,,,,,,"379354,/,3271620007695",,
https://www.auchan.fr/tchanquettes-10-2-offertes-340g/pr-92800076,Tchanquettes 10+2 offertes 340g,,,,,,,,"92800076,/,2030509000667",5.0,
https://www.auchan.fr/feel-natural-recharge-voile-biodegradable-pour-couche-lavable/pr-C1308829,Recharge voile biodégradable pour couche lavable,,,,,,,,"925156,/,3700390860891",,
https://www.auchan.fr/pierre-schmidt-palette-a-la-diable/pr-C1220246,Palette à la diable,,,,,,,,"11370,/,3237550017029",3.7,
https://www.auchan.fr/mon-traiteur-tartiflette/pr-C1776660,Tartiflette,,,,,,,,"312178,/,2030503121788",,
https://www.auchan.fr/auchan-baby-couches-nouveau-ne-taille-1-2-5-kg/pr-C1699422,Couches nouveau né taille 1 (2-5 kg),,,,,,,,"25219,/,3596710519149",3,
https://www.auchan.fr/fleury-michon-jambon-tranche-fin-reduit-en-sel-sans-nitrite/pr-C1217879,Jambon tranché fin réduit en sel sans nitrite,,,,,,,,"656076,/,3095756104017",4.6,4.0
https://www.auchan.fr/mon-traiteur-gratin-de-chou-fleur/pr-C1776623,Gratin de chou fleur,,,,,,,,"312101,/,2030503121016",5.0,
https://www.auchan.fr/metzger-saucisse-de-biere/pr-C1218888,Saucisse de bière,,,,,,,,"235384,/,3272120051928",,
https://www.auchan.fr/fleury-michon-jambon-tranche-fin-degustation-sans-nitrite/pr-C1217881,Jambon tranché fin dégustation sans nitrite,,,,,,,,"656073,/,3095756102013",5.0,
https://www.auchan.fr/fleury-michon-jambon-superieur-label-rouge-sans-nitrite/pr-C1501214,Jambon supérieur Label Rouge sans nitrite,,,,,,,,"625210,/,3302740059100",4.5,
https://www.auchan.fr/stoeffler-saucisse-de-jambon-pistachee/pr-C1204177,Saucisse de jambon pistachée,,,,,,,,"307418,/,3180950014610",5.0,
https://www.auchan.fr/viennoiseries-pain-chocolat-aux-amandes/pr-C1197880,Pain chocolat aux amandes,,,,,,,,"373032,/,2030503730324",5.0,
